atlas_telephely_id,partner/külső_id,hermes_telephely_id,partner_telephely_kulso_id,partner_nev_hermes,telepules_hermes,kozterulet_nev_hermes,kozterulet_jelleg_hermes,hazszam_hermes
1005795,1034065,5247901,1005795,Házisweets Kft.,Lajosmizse,Széchenyi,utca,5
1006052,1034113,5247903,1006052,I.D.C. Hungária ZRt.,Szigetszentmiklós,Leshegy,út,3
1007073,1033993,5440037,1007073,Garafarm Trade Kft.,Budapest,Dézsmaház,utca,19
1007092,1033861,5643677,1007092,Dúzsi Tamás és Családja Szegzárdi Borászati Kft.,Szekszárd,Bor,utca,47
1006974,1033777,5759111,1006974,Comendis Kft,Budapest,Késmárk,utca,11-13
1006806,1034519,5896025,1006806,Puratos Zrt.,Budapest,Galvani,utca,6
1006777,1034533,5996354,1006777,RB (Hygiene Home) Hungary Kft.,Budapest,Bocskai,út,134-146
1006996,1034531,6022959,1006996,Rauch Hungária Kft.,Budapest,Kiskároshíd,utca,
1007286,1034339,6055860,1007286,Midea Zrt.,Miskolc,Desseffy,utca,6
1005672,1034363,6117115,1005672,Multi-Cikória Kft.,Jánossomorja,Frank,utca,19
1005874,1034085,6192963,1005874,Hilltop Neszmély Zrt.,Neszmély,Meleges,hegy,
1006875,1033919,6332014,1006875,Ferrero Magyarország Kft.,Budapest,Váci,út,76
1005792,1034289,6332016,1005792,Magyarvíz Ásványvíz Kft.,Lajosmizse,Elkerülő,út,5
1006702,1034273,6367780,1006702,Madeco Hungary Kft.,Budapest,Könyves Kálmán,körút,12-14
1006844,1034553,6367782,1006844,Roust Hungary Kft.,Budapest,Alkotás,utca,50
1006510,1033821,6450622,1006510,Del Pierre Central Europe Kft.,Budapest,Pasaréti,út,106
1006984,1034097,6496175,1006984,HTS-ART Nyomdaipari és Szolgáltató Kft.,Budapest,Cziráki,utca,26-32
1007109,1033691,6519005,1007109,Bodri Pincészet Kft.,Szekszárd,Vitéz,utca,1
1007524,1034703,1439344,1007524,TE-DI TRADE Kft.,Szeged,Back Bernát,utca,6
1007520,1034053,1439346,1007520,HANSA-KONTAKT Kft.,Szeged,Back Bernát,utca,6
