atlas_partner_id,nev,partner_telephely_id,telepules,kozterulet_nev,kozterulet_jelleg,hazszam,epulet,lepcsohaz,emelet,szekhely,ajto,helyrajzi_szam
1033853,Drinker Kft.,1007259,Kisvárda,Temesvári,utca,4,,,,True,,
1033987,Gála Kereskedelmi Zrt.,1007276,Miskolc,Szentpéteri,kapu,80,,,,True,,
1390018,MISKOLCI LIKŐRGYÁR ZRT.,1007283,Miskolc,Vitéz,utca,13.,,,,True,,
1034339,Midea Zrt.,1007286,Miskolc,Desseffy,utca,6,,,,True,,
1034371,Nádudvari Élelmiszer Kft,1007301,Nádudvar,Gutenberg,utca,1,,,,True,,
1034607,Planet Line Hungary Kft.,1007319,Nyíregyháza,Kiss Ernő,utca,5-7,,,,True,,
1390114,Mada-Hús Kft.,1007324,Nyírmada,Hízlalda,utca,2.,,,,True,,
1390057,Só-Center Csomagoló és Kereskedelmi Szociális Szövetkezet,1007325,Nyírmada,külterület,hrsz.,0255/27/A,,,,True,,0255/27/A
1034053,Hansa Ital kis és nagykereskedés,1007333,Pécs,Martyn Ferenc,utca,,,,,False,,2/1
1034647,Szamos Marcipán Édesipari Termelő és Kereskedelmi Kft.,1007363,Pilisvörösvár,Szent Erzsébet,utca,109,,,,True,,
1034571,Sága Foods ZRt.,1007372,Sárvár,Soproni,utca,15,,,,True,,
1034487,Akció Market Katalin,1007395,Tiszafüred,Füredi,út,1,,,,False,,
1034487,Akció Market Füred,1007396,Tiszafüred,Igari,út,18,,,,False,,
1034487,Pince Kft Italnagykereskedés Tiszafüred,1007397,Tiszafüred,Igari,út,39,,,,False,,
1034487,PINCE Kft.,1007398,Tiszafüred,Igari,utca,39,,,,False,,
1034053,Hansa-Kontakt Kft. Ital nagykereskedés,1007415,Makó,Aradi,utca,77-79,,,,False,,
1033981,G és K Food Kft.,1007420,Sándorfalva,Rákóczi,utca,5,A,,,True,,
1000005,Zabosfa Kertész Kft.,1007422,Zákányszék,Lengyel,tér,7,,,,True,,
1388023,BioVitaMix Kft.,1007432,Hódmezővásárhely,Erzsébet,út,5,A,,,True,,
1034045,Szögedi Csirke Kft.,1007454,Szeged,Központi,major,,,,,True,,02090/32
1034485,Pick Szeged Zrt.,1007493,Szeged,Szabadkai,út,18,,,,True,,
1388027,Creatura Wine Kft.,1007499,Szeged,Világos,utca,17,A,,,True,,
1034053,NOVA Étterem és cukrászda,1007505,Szeged,Szőregi,út,80,,,,False,,
1034053,Príma Nova,1007506,Szeged,Szőregi,út,80,,,,False,,
1034323,Medikémia Zrt,1007510,Szeged,Zsámbokréti,sor,1,A,,,True,,
1033621,ATC Trade Zrt.,1007513,Szeged,Budapesti,út,4,,,,True,,
1034615,Sole-Mizo Zrt.,1007514,Szeged,Budapesti,út,6,,,,True,,
1034053,Hansa-Kontakt Kft.,1007519,Szeged,Back Bernát,utca,6,,,,True,,
1034053,HANSA-KONTAKT Kft.,1007520,Szeged,Back Bernát,utca,6,,,,False,,
1034703,TE-DI TRADE Kft.,1007524,Szeged,Back Bernát,utca,6,,,,False,,
1034703,Tej-Hús Nagyker,1007525,Szeged,Back Bernát,utca,6,,,,True,,
1034053,Príma5,1007527,Szeged,Back Bernát,utca,7,,,,False,,
1034053,Cédrus Gastro,1007544,Szeged,Bakay Nándor,utca,24,,,,False,,
1034053,Príma Cédrus,1007545,Szeged,Bakay Nándor,utca,24,,,,False,,
